lon,lat,Bed Elevation,Mean Curvature,Sedthk,CurieDepth,Rocktype,LAB,Magnet Anolay,distance_to_volcano,distance_to_hotspot,moho,Bouguer Gravity,MiddleCrustThickness,UpperCrustThickness,Vp (km/s),Vs (km/s),TectReign,heat flow
106.5,30.5,374.0841,-0.0702095,7,38.67340256,5,109.6932762,188.6902129,724.3886493,6818.748437,42.69,-8.14068552,-30.43,-17.83,8.34973,4.72782,1,62
117.5,30.5,87.73133,-0.072425,1.65E-13,21.94385256,1,72.91624586,-17.15231835,212.1403448,5803.673505,35.57,106.4848947,-21.56,-10.86,7.96631,4.34256,3,63
27.5,30.5,175.50116,-0.021472333,5.5,35.90605567,6,126.8650287,-13.51009176,686.5851767,73.46875739,34.78,116.4124343,-19.85,-12.62,8.21625,4.59968,2,63.29333333
-96.5,30.5,93.04144,0.0165685,5,33.49329711,1,107.510887,-88.72316944,825.5788624,962.4680564,34.76,123.7877277,-20.53,-12.6,8.08409,4.45926,2,63.90909091
120,30.5,8.420917,-0.051275667,0.800132292,23.46613767,1,67.80459623,-1.395541551,189.6395824,5578.795802,32.21165165,120.9741886,-21.1023926,-10.60941663,7.94014,4.31543,3,64.7
29.5,30.5,50.15646,-0.013391,6,34.59040622,1,119.229739,2.202927951,598.5654274,154.4343407,33.35,92.736708,-22.36,-14.14,8.1668,4.55025,2,64.86
-97,30.5,119.89304,0.00482063,5.832599007,32.01257844,3,108.0778568,-133.8089349,782.697367,929.118121,35.29415929,130.5571317,-21.90989348,-12.44439955,8.08127,4.45685,2,66.26666667
126.5,30.5,-94.805275,0.018662167,4,18.20366822,9999,77.41435089,-11.42712493,299.6526525,5008.710806,26.87,157.3418346,-21.71,-12.9,7.93927,4.31363,3,67
5,30.5,191.65773,-0.046224667,3.195204987,33.40036933,5,101.11567,-15.11411748,610.4352361,839.8387028,35.39228791,57.33508996,-24.8441931,-14.38575098,8.20496,4.58829,2,68
-0.5,30.5,584.2177,-0.044427,4,32.05109633,5,84.11520252,-9.265327991,297.8481904,1054.000591,37.01,54.27262594,-24.56,-14.16,8.19794,4.57995,1,69
28.5,30.5,55.044044,-0.017057833,5,34.08321889,6,124.1000276,-33.09301001,694.1422249,73.46875739,33.76,109.9768494,-20.66,-12.8,8.19546,4.57881,2,69.54333333
4.5,30.5,199.31052,-0.045479,3.2,33.26205278,1,99.46637421,18.58199482,647.3987824,847.1258132,36.32,58.81048581,-24.56,-13.93,8.1988,4.58207,2,71
6.5,30.5,189.72646,-0.050693,5.5,30.835381,1,101.2236051,-14.00165157,511.5408193,835.4358818,35.91,56.18192403,-26.41,-16.01,8.20476,4.58826,2,72
-105.5,30.5,1266.0897,-0.183855,3.5,20.03750044,3,80.87248607,-25.7301035,226.040995,668.7594548,33.33,-7.359463222,-21.51,-11.84,8.01462,4.39382,3,73.87777778
-110.5,30.5,1371.5013,-0.0321805,0.2,12.68313811,10,58.71590827,-13.24108613,135.1019628,459.1568085,26,-5.990941488,-18.8,-8.91,7.87564,4.2558,4,74
-107,30.5,1227.992,-0.181923333,1.908962635,16.91691167,3,70.97632359,-32.46741083,165.0321159,702.3723972,30.58386369,-9.431943053,-20.49430722,-11.30171941,7.9311,4.3113,4,74.4
27,30.5,209.26218,-0.023723,5.477398928,35.17821767,6,127.6409993,-14.29323538,685.7891102,110.9834639,30.76059384,115.0631516,-19.49123233,-12.53263003,8.21992,4.60341,2,76.9625
28,30.5,116.4034,-0.019214222,5.5403664,34.763889,6,125.6758414,-12.90709547,690.4872446,55.59754012,30.46950195,111.9863553,-19.6885938,-12.85780712,8.20802,4.59139,2,77.55
26,30.5,209.78717,-0.027077111,5.341220124,38.00087133,6,127.8622518,100.6043513,693.5160347,199.9883605,31.08598395,134.9608638,-19.76077061,-12.43978022,8.21308,4.59667,2,77.64333333
5.5,30.5,192.55495,-0.0471365,3.8,33.23146611,1,101.6882859,-18.93937901,575.2311171,835.4358818,36.17,56.11696014,-25.44,-14.68,8.20779,4.59119,2,78
25.5,30.5,214.58818,-0.027515333,4.8,37.57914267,6,127.4920692,125.178137,701.9362714,246.4815476,35.01,114.3145785,-21.04,-12.82,8.20114,4.58478,2,78.96
26.5,30.5,210.08318,-0.025726333,5,36.29328656,6,127.9395301,34.85584479,688.1098437,154.4343407,34.97,130.3239897,-20.12,-12.47,8.21912,4.60266,2,80.402
6,30.5,191.21524,-0.04875,3.328600132,32.46992111,1,101.6407706,-4.503028449,542.1299649,833.9631018,35.33708422,60.57425617,-24.86990113,-14.73700719,8.20672,4.59017,2,84
-105,30.5,1268.623,-0.172976667,1.711431678,19.73673667,1,84.2143488,-48.89335552,260.9299879,661.3326032,35.29172722,-9.412027885,-27.13626601,-14.15621915,8.04699,4.42577,3,87.6962963
-115,30.5,161.60008,0.057792,0.528928548,25.45543922,1,56.79427929,-124.0379306,44.91249051,359.5757166,20.8346638,109.1614658,-18.21802062,-9.18001487,7.85826,4.23806,4,93.7
10,30.5,398.50784,-0.043805667,3.288600137,32.21823844,6,79.68575292,-24.59478682,351.0732563,923.4910466,34.35832508,55.23814672,-24.23188213,-14.04488476,8.1202,4.50403,2,97
-114.5,30.5,-96.62229,0.0287025,0.5,28.85334811,9999,56.50103209,-63.63404473,33.80315772,402.953132,24.51,128.3229003,-12.48,-6.46,7.86725,4.24695,4,128.2
35.5,31,616.75146,0.039226667,3.233455323,26.114851,6,78.61489798,-53.64142488,38.35031945,726.9703457,30.97227851,75.16861483,-21.28756069,-11.78284766,7.77993,4.16375,4,20.076385
-81.5,31,-6.6021633,-0.056899,3.041310454,30.90117,9999,133.657697,-241.4302282,1644.839172,2059.69741,36.60675719,150.0110689,-25.86544172,-13.81044583,8.12977,4.5019,2,21
-85,31,57.823326,0.035748333,4.022763339,23.105504,6,150.41974,-14.83000762,1551.519097,1862.312403,37.91523324,129.6002288,-26.1395053,-14.92258916,8.14136,4.51229,2,27
-100,31,579.028,-0.053626,2.31407775,24.33526189,1,114.9576204,168.5624228,560.2803192,710.0252803,39.97146574,78.46422243,-32.62681942,-16.80029176,8.15458,4.53178,2,33.48148148
-99.5,31,491.07263,-0.045123,2.189871291,23.46871311,1,116.9536332,93.55881799,598.1032444,735.7224862,39.50898852,94.5609669,-32.66195221,-16.59113783,8.13758,4.5146,2,34.28571429
-99.5,31,491.07263,-0.045123,2.189871291,23.46871311,1,116.9536332,93.55881799,598.1032444,735.7224862,39.50898852,94.5609669,-32.66195221,-16.64477864,8.13758,4.5146,2,34.28571429
-99.5,31,491.07263,-0.045123,2.189871291,23.46871311,1,116.9536332,93.55881799,598.1032444,735.7224862,39.50898852,94.5609669,-32.74807648,-16.59113783,8.13758,4.5146,2,34.28571429
-99.5,31,491.07263,-0.045123,2.189871291,23.46871311,1,116.9536332,93.55881799,598.1032444,735.7224862,39.50898852,94.5609669,-32.74807648,-16.64477864,8.13758,4.5146,2,34.28571429
-99.5,31,491.07263,-0.045123,2.189871291,23.46871311,1,116.9536332,93.55881799,598.1032444,735.7224862,39.29557332,94.5609669,-32.66195221,-16.59113783,8.13758,4.5146,2,34.28571429
-99.5,31,491.07263,-0.045123,2.189871291,23.46871311,1,116.9536332,93.55881799,598.1032444,735.7224862,39.29557332,94.5609669,-32.66195221,-16.64477864,8.13758,4.5146,2,34.28571429
-99.5,31,491.07263,-0.045123,2.189871291,23.46871311,1,116.9536332,93.55881799,598.1032444,735.7224862,39.29557332,94.5609669,-32.74807648,-16.59113783,8.13758,4.5146,2,34.28571429
-99.5,31,491.07263,-0.045123,2.189871291,23.46871311,1,116.9536332,93.55881799,598.1032444,735.7224862,39.29557332,94.5609669,-32.74807648,-16.64477864,8.13758,4.5146,2,34.28571429
-99.5,31,491.07263,-0.045123,3.381082237,23.46871311,1,116.9536332,93.55881799,598.1032444,735.7224862,39.50898852,94.5609669,-32.66195221,-16.59113783,8.13758,4.5146,2,34.28571429
-99.5,31,491.07263,-0.045123,3.381082237,23.46871311,1,116.9536332,93.55881799,598.1032444,735.7224862,39.50898852,94.5609669,-32.66195221,-16.64477864,8.13758,4.5146,2,34.28571429
-99.5,31,491.07263,-0.045123,3.381082237,23.46871311,1,116.9536332,93.55881799,598.1032444,735.7224862,39.50898852,94.5609669,-32.74807648,-16.59113783,8.13758,4.5146,2,34.28571429
-99.5,31,491.07263,-0.045123,3.381082237,23.46871311,1,116.9536332,93.55881799,598.1032444,735.7224862,39.50898852,94.5609669,-32.74807648,-16.64477864,8.13758,4.5146,2,34.28571429
-99.5,31,491.07263,-0.045123,3.381082237,23.46871311,1,116.9536332,93.55881799,598.1032444,735.7224862,39.29557332,94.5609669,-32.66195221,-16.59113783,8.13758,4.5146,2,34.28571429
-99.5,31,491.07263,-0.045123,3.381082237,23.46871311,1,116.9536332,93.55881799,598.1032444,735.7224862,39.29557332,94.5609669,-32.66195221,-16.64477864,8.13758,4.5146,2,34.28571429
-99.5,31,491.07263,-0.045123,3.381082237,23.46871311,1,116.9536332,93.55881799,598.1032444,735.7224862,39.29557332,94.5609669,-32.74807648,-16.59113783,8.13758,4.5146,2,34.28571429
-99.5,31,491.07263,-0.045123,3.381082237,23.46871311,1,116.9536332,93.55881799,598.1032444,735.7224862,39.29557332,94.5609669,-32.74807648,-16.64477864,8.13758,4.5146,2,34.28571429
-98.5,31,386.03308,-0.030168,4.003628587,22.05508011,5,113.034037,-124.576153,677.8034986,792.7117447,38.05971244,85.22412669,-30.55484159,-15.56646178,8.10941,4.48612,2,34.4
-104.5,31,1221.4695,-0.161005,2.135952236,21.39688767,1,90.03451419,-7.225019631,272.1334004,601.5905827,37.51802814,16.09341409,-33.70796781,-18.04358974,8.10282,4.48068,2,35.22222222
-86,31,80.16593,0.094851667,4.908929452,22.26554544,1,138.4868838,8.461873951,1470.695038,1775.427337,38.07424336,138.2397536,-28.05436695,-16.82410906,8.12696,4.49837,2,37.16666667
-99,31,423.48236,-0.038110667,3.664465554,22.42071522,3,131.52851,102.364916,637.3609422,763.3521943,38.70198733,99.91681247,-32.14275302,-16.27128365,8.12354,4.50038,2,37.66666667
-86.5,31,79.01505,0.11603,5.387694288,22.82003444,5,138.6848258,-49.98941192,1431.119757,1732.17058,38.01789522,139.1444394,-28.90962501,-17.54172472,8.12041,4.4921,2,38.33333333
-98,31,268.2469,-0.019761667,4.413153057,24.837659,5,111.7915559,-131.2306399,719.230386,823.6155126,37.38504217,74.16018202,-27.5925448,-14.30438465,8.09591,4.47248,2,38.5
-100.5,31,629.39453,-0.064935,2.519674943,25.18504922,1,112.8666144,81.12399432,524.2035975,686.4782688,40.41803584,75.5046926,-32.15681559,-16.8806726,8.17102,4.54834,2,39.16666667
-82,31,10.253224,-0.054586,2.911567515,30.00269222,1,132.8223266,-144.0540659,1673.66788,2107.306533,36.73692475,150.0565789,-26.66941332,-13.89984517,8.1295,4.50122,2,39.5
-102,31,824.22833,-0.106716667,2.996059345,26.15576322,1,104.3915452,80.47197097,430.7612792,631.0454439,41.18017776,37.17171378,-31.27845108,-17.39908025,8.19958,4.57685,2,39.5
-101.5,31,783.6647,-0.093519,2.952870133,26.28328122,1,107.5742084,67.04196115,458.9220458,646.7557632,41.07076851,44.68566177,-30.73303328,-16.80957497,8.19193,4.56921,2,40.10714286
-104,31,910.9837,-0.149476667,2.445840427,21.39119244,1,92.51806453,-1.14619156,316.1417216,600.5245683,38.89890518,17.36465494,-34.81847363,-19.29349102,8.13155,4.50924,2,40.57142857
-103.5,31,818.5197,-0.13878,2.753737253,23.16024467,1,95.15712936,25.34416755,361.0095406,603.0089998,39.97282792,28.85348665,-34.67092256,-19.82129114,8.158,4.53557,2,40.84210526
-102.5,31,781.2869,-0.11834,2.966469585,26.10255922,1,101.1481389,13.07519124,406.4385606,618.3966141,41.07038642,48.73287119,-32.37802653,-18.29246778,8.19777,4.57509,2,42.35
-101,31,694.20105,-0.079028667,2.761073318,26.26344833,6,132.03579,66.25627486,490.2594587,665.3103751,40.80194944,68.30654253,-31.25024323,-16.73312584,8.1822,4.55952,2,42.46428571
-103,31,762.2609,-0.12871,2.900644386,25.06482,1,83.48928,124.5003287,386.6793108,609.0003688,40.68267766,58.32221535,-33.69391782,-19.29565906,8.18208,4.55951,2,43.18181818
27.5,31,-448.10303,-0.021472333,5.873958201,33.93817256,9999,130.5629593,28.59884622,631.0607176,121.0746079,29.13839054,149.2510443,-18.6526797,-12.6148518,8.22491,4.60832,1,45.12
104,31,634.45734,-0.123795556,2.019486303,32.592596,1,103.0518451,-6.503184898,907.1268645,6666.521887,48.16987547,-59.98805701,-34.31240503,-19.55754366,8.24708,4.62624,2,47.05
108,31,611.8517,-0.050176444,2.334877639,36.30475367,3,108.700358,68.86896032,575.3252921,6690.892503,40.35315275,-18.55303542,-31.20092123,-18.45122318,8.37605,4.7524,1,48.36
111.5,31,366.72787,-0.035057833,1.673864752,32.06528478,3,100.1006031,-42.81458361,362.0182616,6367.588419,36.639616,48.73314184,-28.33937635,-15.79462326,8.17038,4.54539,2,48.5
-87,31,68.85836,0.128136667,5.876349178,24.90059889,1,157.8439,10.98180684,1392.166862,1689.051838,37.8667617,135.7590463,-29.42768166,-18.04249508,8.11314,4.4851,2,48.5
105.5,31,424.49994,-0.0887505,2.340949521,34.15529044,3,106.5657175,-13.27199776,778.1618022,6809.230388,44.47341026,-10.08166333,-30.33177025,-18.467649,8.29035,4.66904,1,48.7
-85.5,31,74.245766,0.0670035,4.451654333,22.89621233,5,138.0637477,-15.49209444,1510.843183,1818.811246,38.03327684,131.94065,-27.03709993,-15.92521402,8.13406,4.50521,2,49.8
34.5,31,287.35358,0.036133167,3.735095229,25.74924633,5,84.18598931,-14.4661802,123.0279353,632.5065556,29.15615794,86.62315199,-20.57494626,-11.96850502,7.8469,4.23099,4,50.91678571
120,31,5.5457335,-0.051275667,0.828520648,26.25265056,11,67.67401412,-9.895821613,145.1679621,5598.96192,32.2287999,125.8757685,-21.3644766,-10.86404353,7.94419,4.31939,3,51
35,31,194.82724,0.040850667,3.472367979,25.46111644,6,50.21386,-40.85194601,77.62615145,679.6947265,30.00985195,51.56437504,-20.88116889,-11.81648806,7.81205,4.19603,4,51.46278341
107.5,31,547.23114,-0.056786833,2.390033228,36.93990789,5,108.7636041,103.6797422,614.1092403,6737.330878,41.04580029,-18.45116859,-30.45604555,-18.23729586,8.36893,4.74592,1,52.28
104.5,31,490.40332,-0.112788333,2.149449209,31.31891422,3,104.4105465,24.04406872,863.7416563,6714.077568,46.81976918,-38.37623149,-31.23300418,-18.25775306,8.25552,4.63463,2,52.35
34,31,55.52278,0.026521111,4.015219194,24.60283744,1,87.44131872,3.72819756,169.707763,585.4280227,28.48465379,86.73969666,-20.38252216,-12.2335625,7.88526,4.26941,4,52.37565882
-92,31,15.847111,0.085860333,8.789601057,37.72833589,1,114.6294402,-73.92970932,1051.807768,1268.822129,33.61000417,130.8070397,-26.22524389,-18.40229836,8.08264,4.45621,2,52.60377358
-88,31,37.748856,0.133593333,6.854244734,28.72249811,1,136.0107022,-48.96273872,1316.351039,1603.277332,37.29621706,112.3266216,-29.64677825,-18.77918374,8.10282,4.47515,2,53.24
-88.5,31,49.695744,0.131075,7.314621028,29.50678333,1,134.2108542,-91.5918454,1279.613239,1560.649203,36.90493717,125.3829565,-29.27496682,-18.9408112,8.10012,4.47261,2,53.47058824
8,31,189.68802,-0.051794667,3.747039442,28.044579,1,98.46415043,11.48939434,491.9916952,911.2999454,34.73127764,69.3216183,-24.50365931,-14.90682927,8.20506,4.58859,1,54
-87.5,31,75.300804,0.13349,6.37018852,26.76537056,1,137.4747953,0.520883164,1353.890729,1646.083042,37.61942736,118.5417716,-29.69376026,-18.46946819,8.10695,4.47911,2,54.17647059
-91.5,31,71.76828,0.09177,8.789235104,35.27470522,1,116.7950565,-67.69978166,1080.528065,1309.642815,34.03354767,124.48132,-26.77744864,-18.45739252,8.08571,4.45915,2,55.30769231
105,31,470.7339,-0.100543667,2.256836324,31.92626489,3,141.95574,5.836753556,820.7321899,6761.647449,45.58927838,-23.34681121,-30.25623291,-18.08909504,8.26911,4.6481,2,56.35
-90.5,31,111.26136,0.10772,8.580062434,31.23850722,1,122.489971,1.329632884,1142.21704,1392.260567,35.00332568,127.0292916,-27.07977384,-18.40487993,8.08865,4.46187,2,56.42105263
-93,31,52.794945,0.078215667,8.582018077,36.74049,1,72.08488,-102.2980267,999.228731,1188.330142,33.03363595,138.1605137,-26.85125556,-18.54269491,8.08309,4.45681,2,56.70588235
-89,31,52.592995,0.12693,7.72727737,29.23069744,1,140.41439,-58.98827708,1243.749006,1518.214687,36.46908566,131.8917013,-28.66951412,-18.92495661,8.09689,4.46958,2,56.94444444
-90,31,84.573784,0.115343333,8.366833567,29.216533,1,125.9520196,6.85237056,1174.961752,1433.99952,35.50472588,123.0364152,-27.41445843,-18.5507244,8.08964,4.46275,2,57.03846154
-92.5,31,24.153599,0.0816065,8.72372961,38.46271944,1,112.3478692,-108.4010427,1024.664986,1228.371633,33.26737744,128.8241689,-26.04060234,-18.41187157,8.08153,4.45521,2,57.06451613
-91,31,109.528275,0.099419333,8.718478666,33.22708922,1,79.70163,-17.72208773,1110.703072,1350.799197,34.50508068,125.9057621,-26.96296699,-18.42683362,8.08818,4.4615,2,57.33333333
-95,31,69.00046,0.048647667,7.460010572,36.60869122,1,70.50687,-82.65923154,917.2578266,1033.220013,33.57126188,110.2050985,-27.11015096,-18.33540535,8.08853,4.46273,2,58.11111111
-106.5,31,1320.6176,-0.19151,1.999008298,18.38827367,1,75.62799617,-129.5604906,124.2696627,640.1177212,31.32524101,-4.460987783,-22.96140701,-12.689854,7.95768,4.33701,3,58.66
-97.5,31,176.9453,-0.00766105,4.877609361,28.17343189,6,110.6531312,-105.7251252,761.4802693,855.8955553,36.68947039,91.27185693,-24.39715703,-13.06551723,8.08447,4.46072,2,59.4
-89.5,31,69.986336,0.12177,8.083622082,28.838403,1,129.1609328,8.334346067,1208.836696,1475.991548,35.99680029,131.7568193,-28.0157615,-18.77198068,8.09298,4.46591,2,59.5
117.5,31,23.495533,-0.072425,0.858261514,23.72723422,1,72.67412418,-68.67237288,173.3975969,5822.131716,33.96075075,114.4566459,-21.90490593,-11.08589531,7.97404,4.35005,3,62.46666667
-93.5,31,87.21011,0.074042,8.382763342,34.94810889,1,109.1161024,-95.8317641,975.6329096,1148.741433,32.93650734,131.4915352,-27.85068596,-18.68899116,8.08531,4.45904,2,63.30769231
-95.5,31,94.440216,0.038024,7.025891252,35.60065367,1,106.8988025,-86.18323292,902.3842063,996.0068791,34.05596294,116.4330557,-25.88515962,-17.61030338,8.08651,4.46109,2,63.45454545
121.5,31,-0.94810057,-0.037662167,1.203842954,21.749676,1,69.50031411,34.66835328,263.8833091,5466.450399,31.99371279,143.6312039,-20.24124589,-10.82248889,7.92162,4.29661,3,64
121,31,2.4547772,-0.041877444,1.199439693,24.70034578,1,57.08032,-38.24012692,221.2500827,5510.49741,32.05560583,135.4980269,-20.39299131,-10.86186489,7.93783,4.31282,3,64
-96,31,85.010254,0.027432333,6.506874312,32.911789,1,107.6526688,-56.82741755,890.0097287,959.5689044,34.64221006,116.9251097,-23.76234827,-15.4795283,8.08385,4.45881,2,64.8125
103.5,31,1865.4563,-0.132245,1.875990761,33.07954167,13,101.7374675,-44.56879561,909.9016057,6618.981568,49.6111462,-93.30213501,-38.70536998,-21.2636224,8.24163,4.62081,2,64.86666667
-9.5,31,850.2653,-0.0676445,2.651590187,30.10483744,6,80.05623056,-60.62682002,419.0705291,741.1719555,28.25855831,116.6916641,-19.46801406,-12.89473456,7.9147,4.29692,5,65.977
4.5,31,202.34006,-0.045479,3.336049718,34.93387089,6,101.3720514,32.00009137,635.8262004,901.853595,35.15556273,59.94546833,-24.65602308,-14.31783955,8.19507,4.57823,2,66
119.5,31,63.77008,-0.057367,0.821994499,24.56405322,5,68.20231599,-22.5204382,117.8102546,5643.372701,32.53214747,121.8820965,-21.2166734,-10.71353047,7.94549,4.32081,3,66.1
-10,31,172.08708,-0.067725667,2.781074899,28.38526011,3,79.50841554,-47.96924276,456.9782614,696.3689051,27.23282381,158.1546547,-18.369295,-11.59644215,7.90464,4.28686,5,66.46153846
106,31,382.9515,-0.078586444,2.395172722,35.903684,3,107.3296685,75.10502478,736.1076992,6856.82526,43.48367161,-11.99385176,-30.45463768,-18.60623967,8.31247,4.69075,1,66.9
-96.5,31,124.6366,0.0165685,5.949299725,31.24501833,3,108.5692002,-42.73211124,847.951924,923.9987114,35.29651352,132.2003096,-22.13698099,-13.34881912,8.08065,4.45599,2,67
126,31,-80.519165,0.013649656,1.186295826,20.19265633,9999,74.09621731,-15.42665031,360.6191261,5076.246735,28.38238898,155.4346703,-17.96745941,-9.969573903,7.8992,4.27377,4,68
8.5,31,219.47575,-0.050605,3.732994091,29.39766967,1,95.24527518,12.14853541,463.8231754,923.3030023,34.57743542,67.31125444,-24.39614392,-14.74515353,8.18824,4.57183,1,68
117,31,40.49029,-0.070127222,0.885436459,24.98906789,1,69.98549,-56.60295894,212.9660134,5867.08535,34.30366847,106.4941841,-21.9874366,-10.78231855,7.98328,4.35938,3,68.86
-94.5,31,67.04994,0.0589195,7.82513839,35.61743611,1,107.2231606,-90.9561958,934.5110382,1071.126681,33.20977054,102.6868243,-27.78980886,-18.44276363,8.08915,4.46301,2,68.9
-114.5,31,-48.314888,0.0287025,0.572480743,28.92456633,9999,56.85589636,-47.22289192,87.22423398,428.1632604,22.23975079,124.3478328,-15.12538079,-7.89895172,7.84789,4.22738,4,69.5
12,31,579.3546,-0.035838333,3.380768104,34.81561389,6,67.25602216,-14.89055615,162.5068243,1069.394138,33.38883681,51.87210654,-23.39624596,-13.4258288,8.04695,4.43046,3,69.66
4,31,268.18454,-0.044590667,3.308015851,34.83537244,5,98.13894746,7.711845031,591.6288525,911.2999454,35.11910266,53.5790243,-24.61573867,-14.17981804,8.18555,4.56868,2,71
-97,31,121.36798,0.00482063,5.399743073,30.46016156,1,119.43634,-70.0735328,804.422766,889.401314,35.98575659,138.1230124,-22.53221264,-12.68460193,8.07889,4.45467,2,71.625
3.5,31,357.96832,-0.0439385,3.296267483,33.26556267,3,94.91084899,5.427924587,547.9206397,923.3030023,35.06382276,49.69249842,-24.5726271,-14.07053848,8.17674,4.55983,2,72
0.5,31,582.7489,-0.044544,2.72180509,32.273089,5,75.67862699,37.3248372,307.7634721,1042.758335,34.46870346,47.53493849,-24.77465417,-14.13755208,8.15909,4.54126,3,72
0.5,31,582.7489,-0.044544,2.72180509,32.273089,5,75.67862699,37.3248372,307.7634721,1042.758335,34.46870346,47.53493849,-24.77465417,-14.12419163,8.15909,4.54126,3,72
0.5,31,582.7489,-0.044544,2.72180509,32.273089,5,75.67862699,37.3248372,307.7634721,1042.758335,34.46870346,47.53493849,-24.28727498,-14.13755208,8.15909,4.54126,3,72
0.5,31,582.7489,-0.044544,2.72180509,32.273089,5,75.67862699,37.3248372,307.7634721,1042.758335,34.46870346,47.53493849,-24.28727498,-14.12419163,8.15909,4.54126,3,72
0.5,31,582.7489,-0.044544,2.72180509,32.273089,5,75.67862699,37.3248372,307.7634721,1042.758335,34.31728025,47.53493849,-24.77465417,-14.13755208,8.15909,4.54126,3,72
0.5,31,582.7489,-0.044544,2.72180509,32.273089,5,75.67862699,37.3248372,307.7634721,1042.758335,34.31728025,47.53493849,-24.77465417,-14.12419163,8.15909,4.54126,3,72
0.5,31,582.7489,-0.044544,2.72180509,32.273089,5,75.67862699,37.3248372,307.7634721,1042.758335,34.31728025,47.53493849,-24.28727498,-14.13755208,8.15909,4.54126,3,72
0.5,31,582.7489,-0.044544,2.72180509,32.273089,5,75.67862699,37.3248372,307.7634721,1042.758335,34.31728025,47.53493849,-24.28727498,-14.12419163,8.15909,4.54126,3,72
0.5,31,582.7489,-0.044544,3.321994736,32.273089,5,75.67862699,37.3248372,307.7634721,1042.758335,34.46870346,47.53493849,-24.77465417,-14.13755208,8.15909,4.54126,3,72
0.5,31,582.7489,-0.044544,3.321994736,32.273089,5,75.67862699,37.3248372,307.7634721,1042.758335,34.46870346,47.53493849,-24.77465417,-14.12419163,8.15909,4.54126,3,72
0.5,31,582.7489,-0.044544,3.321994736,32.273089,5,75.67862699,37.3248372,307.7634721,1042.758335,34.46870346,47.53493849,-24.28727498,-14.13755208,8.15909,4.54126,3,72
0.5,31,582.7489,-0.044544,3.321994736,32.273089,5,75.67862699,37.3248372,307.7634721,1042.758335,34.46870346,47.53493849,-24.28727498,-14.12419163,8.15909,4.54126,3,72
0.5,31,582.7489,-0.044544,3.321994736,32.273089,5,75.67862699,37.3248372,307.7634721,1042.758335,34.31728025,47.53493849,-24.77465417,-14.13755208,8.15909,4.54126,3,72
0.5,31,582.7489,-0.044544,3.321994736,32.273089,5,75.67862699,37.3248372,307.7634721,1042.758335,34.31728025,47.53493849,-24.77465417,-14.12419163,8.15909,4.54126,3,72
0.5,31,582.7489,-0.044544,3.321994736,32.273089,5,75.67862699,37.3248372,307.7634721,1042.758335,34.31728025,47.53493849,-24.28727498,-14.13755208,8.15909,4.54126,3,72
0.5,31,582.7489,-0.044544,3.321994736,32.273089,5,75.67862699,37.3248372,307.7634721,1042.758335,34.31728025,47.53493849,-24.28727498,-14.12419163,8.15909,4.54126,3,72
-105,31,1333.953,-0.172976667,1.966521461,20.790101,6,152.6332,-70.13705554,229.4807733,606.1882875,35.90519687,-0.702218445,-30.51269766,-16.16923981,8.06885,4.44701,3,72.76
-94,31,77.73551,0.067609333,8.129398306,35.09704933,1,108.1954243,-99.82718316,954.0144795,1109.654958,32.99619628,103.0620351,-28.02108891,-18.55420612,8.08762,4.46135,2,72.88888889
5,31,163.41188,-0.046224667,3.386037366,33.81305644,5,140.23106,10.3133056,648.2883655,895.0450569,35.16907772,64.20312436,-24.68989607,-14.48784201,8.20545,4.58867,2,73
26.5,31,143.65741,-0.025726333,5.756833377,36.33198867,6,131.6721626,44.60314045,632.7101241,181.7044553,29.43133318,159.9805572,-18.70084665,-12.32694461,8.22301,4.60652,1,74.26
-0.5,31,664.048,-0.044427,2.644982217,31.6777705,5,76.23391824,16.53357522,248.5894223,1097.611454,34.57683348,67.06848119,-24.86943437,-13.99671214,8.14108,4.52286,3,75
0,31,608.9239,-0.044414,2.692296983,31.268179,1,76.19129991,11.68577618,275.7413725,1069.394138,34.53695722,49.21310328,-24.8270683,-14.12324707,8.15121,4.53316,3,76
7,31,167.5001,-0.052075667,3.696461429,29.98433167,1,137.72307,11.81483772,531.540278,895.0450569,34.97745218,70.93030553,-24.66041576,-15.04693603,8.22032,4.60375,1,76.5
118.5,31,13.58001,-0.069045333,0.826303011,22.21832089,1,69.9876681,37.9568042,113.9295411,5732.535188,33.2253405,120.8746941,-21.38199266,-10.86092264,7.95566,4.33135,3,76.65
-107,31,1224.9104,-0.181923333,2.035905559,16.70082111,1,54.28978,-45.83922678,109.6660998,657.5618244,30.34159576,-4.704807376,-21.45722326,-12.14016474,7.9291,4.30874,3,77.9
10,31,413.2691,-0.043805667,3.567206178,32.95806811,6,81.68475059,24.3722742,327.561731,973.6046725,34.04605805,60.23491931,-24.00334163,-14.09465704,8.13196,4.5157,2,78
9,31,259.83197,-0.048871667,3.690505498,30.43901367,1,122.11592,17.64877812,417.9662949,937.7644106,34.40845002,67.2677046,-24.27379536,-14.53790651,8.16986,4.55352,1,78
-8.5,31,1224.3239,-0.0675025,2.366527518,33.306636,3,82.51168906,-51.41826,349.9741983,831.5347615,29.95069963,60.4879684,-21.3618117,-12.87355698,7.93553,4.31771,3,80
2,31,536.2825,-0.045481333,3.289501593,33.27118344,1,89.11415582,-3.151578947,421.2596816,973.6046725,34.78313105,63.7199272,-24.44415169,-13.92156741,8.16034,4.54307,2,81
